172.18.0.1 - - [03/Dec/2024:11:59:49 +0000] "GET /static/js/main.419ca285.chunk.js HTTP/1.1" 200 5247 "https://052024-jaune-4.wns.wilders.dev/" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1"
172.18.0.1 - - [03/Dec/2024:12:02:19 +0000] "GET / HTTP/1.1" 200 3014 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0"
172.18.0.1 - - [03/Dec/2024:12:02:19 +0000] "GET / HTTP/1.1" 200 3014 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:02:20 +0000] "GET /static/css/main.8c8b27cf.chunk.css HTTP/1.1" 200 804 "https://052024-jaune-4.wns.wilders.dev/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:02:20 +0000] "GET /static/js/main.419ca285.chunk.js HTTP/1.1" 200 5247 "https://052024-jaune-4.wns.wilders.dev/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:02:20 +0000] "GET /static/js/2.1c9d4dd4.chunk.js HTTP/1.1" 200 373254 "https://052024-jaune-4.wns.wilders.dev/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:02:20 +0000] "POST /graphql HTTP/1.1" 200 24 "https://052024-jaune-4.wns.wilders.dev/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:02:20 +0000] "GET /favicon.ico HTTP/1.1" 200 3870 "https://052024-jaune-4.wns.wilders.dev/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:02:20 +0000] "GET /manifest.json HTTP/1.1" 200 492 "https://052024-jaune-4.wns.wilders.dev/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:02:20 +0000] "GET /logo192.png HTTP/1.1" 200 5347 "https://052024-jaune-4.wns.wilders.dev/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:02:20 +0000] "GET / HTTP/1.1" 200 3014 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:02:20 +0000] "HEAD /favicon.ico HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:02:20 +0000] "GET /favicon.ico HTTP/1.1" 200 3870 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:05:53 +0000] "GET /robots.txt HTTP/1.1" 200 67 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:27:01 +0000] "GET / HTTP/1.1" 200 3014 "http://052024-jaune-4.wns.wilders.dev/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:27:02 +0000] "GET / HTTP/1.1" 200 3014 "http://052024-jaune-4.wns.wilders.dev/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:27:02 +0000] "GET /favicon.ico HTTP/1.1" 200 3870 "http://052024-jaune-4.wns.wilders.dev/favicon.ico" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:27:03 +0000] "GET /logo192.png HTTP/1.1" 200 5347 "http://052024-jaune-4.wns.wilders.dev/logo192.png" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:27:04 +0000] "GET / HTTP/1.1" 200 3014 "http://052024-jaune-4.wns.wilders.dev/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
172.18.0.1 - - [03/Dec/2024:12:27:05 +0000] "GET / HTTP/1.1" 200 3014 "http://052024-jaune-4.wns.wilders.dev/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
